id,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48
0988e552de824157f57174d3661ed376,1,0,0,0,0,0,0,0,0,0,0,0,0
013dfa7e625a78ffc49d5d15b6734dba,1,0,0,0,0,0,0,0,0,0,0,0,0
b22ced85e7b45f2d300a87f3741e158b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8097b5fcd50e166a4d47004e941e8965,1,0,0,1,0,0,1,0,0,1,0,4,1
360f4e7cc82607f333855af8e4f98933,1,0,0,0,0,0,0,0,0,0,0,0,0
55f02c8c7bfab0c035853274d764a798,1,0,0,0,0,0,0,0,0,0,0,0,0
6224b6b9a12cd021f2fa4f081e533208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23ec002312e880cba51c86b1e664c067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d38e7bbd94dfe4275cfde5df0b69a2e8,1,0,0,0,0,0,0,0,0,0,0,0,0
21a49cbfcd00e2f856315a4e94794525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e12b5e654990da861b1c16b2eda99779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dba0a56349c6b0d8d2b327d44923e26a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
476fb08d7b554719d860f662c56b8014,1,0,0,0,0,0,0,0,0,0,0,0,0
a81b0ab932e0b5ad14c26bfba0bf1623,1,0,0,0,0,0,0,0,0,0,0,0,0
251cd0950a2c936c57c34afa4b941e26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7c31e54f52d43ec0e3f68906fe63aea2,1,0,0,0,0,0,0,0,0,0,0,0,0
81407a2e0a69ea47e4277daba51b675c,1,0,0,0,0,0,0,0,0,0,0,0,0
1b25969248877c8194a7bbb19d3c036d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ef4f67ed8fc2c7dc6be55f5f45404ca4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49c28ef4127db810ad1b370ab9090a05,1,0,0,0,0,0,0,0,0,0,0,0,0
87a4cc6a0ec852aa3f6804c2a36fa853,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
cff7a5f88913bb0f72d2f6bd2e722ed9,1,0,0,0,0,0,0,0,0,0,0,0,0
fa7a65cf736d03702ef3f880cb866160,1,0,0,0,0,0,0,0,0,0,0,0,0
232778b59abd17c470b0d6a88b8a4812,1,0,0,0,0,0,0,0,0,0,0,0,0
e5de629559232954068eb655fa24c15e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
710fbaaa23db5eb83350fe59f4462b99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0fd5cc43da0e6610c7e792ee22afd2e3,1,0,0,0,0,0,0,0,0,0,0,0,0
fdff9f11cf502af281668cd5a13fdc31,1,0,0,0,0,0,0,0,0,0,0,0,0
afaf3bff8676e685302c9c4edab899e5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25728a975141c0cf954a3d2b7db17848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d4550e7b897543655c1e9bee3b7deb97,1,0,0,0,0,0,0,0,0,0,0,4,0
de66b6b08a8cdade8819a9338d2e27da,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3f816fc07728ddcb9aebcd7b92a05fa4,1,0,0,0,0,0,0,0,0,0,0,0,0
6f82e8518db78b3ce44da077f463145e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b022609d4ba389099824bd05dfb0ce47,1,0,0,0,0,0,18,0,0,18,0,0,18
e7fde0447029706e91b2fc4d9b855419,1,0,0,0,0,0,0,0,0,0,0,0,0
21148c78219ef536ec4cc62072056401,1,0,0,0,0,0,0,0,0,0,0,0,0
b7f66b6b69351f2a993908dd6f06835f,1,0,0,0,0,0,0,2,54,0,2,54,0
2b42cf304ba5a5716bf849a36d5f8a32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ee9130b97127a49b7277f1e60efe093e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1b7c7e7309321a140b7a0c12bc289fd7,1,0,0,0,0,35,0,0,104,0,0,241,85
944ad5ee49662dcbdc47c66a65212a85,1,0,0,0,0,0,0,0,0,0,0,0,0
4ce3b0e5f00e406618099b0aa48b7f83,1,0,0,0,0,0,0,0,0,0,0,0,0
d1df21e0f6d6af4df33805c2dfcb77c5,1,0,0,0,0,0,0,0,0,0,0,0,0
631f79709d63909216b3d24c13dec1a8,1,0,0,0,0,0,0,0,0,0,0,0,0
7919a8c2c5c7402167872bbabffe7f63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d8ae5e6b1c8a8f9e396a4debc42459f0,1,0,0,0,0,0,0,0,0,0,0,0,0
602ebcbb8ab9fefbf2d1e05afbfc512e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d4fb902d7aa203b1269db9a8fd4495f7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8b75607abb20b9afe29f0bd2a6575e64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a32f927616e10139ca9002084b065523,1,0,0,0,0,0,0,0,0,0,0,0,0
cfe3661e075ce47fc0b478032e8be6d3,1,0,0,0,0,0,0,0,0,0,0,0,0
3663913da866c28bebf772f4691727ba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
f088bc77852cb1a1a71266528fd80926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bf1dffa1c44bfa7ea5d11bfb5ae6ae83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0048a648ff60467c3355af7d17acd423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252a30c95aafabdd9462c83c07ae5371,1,0,0,0,0,0,0,0,0,0,0,4,0
834c995946e60b523d5d1f3caf921800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9dfecb8fd538e5845c5cd46072aa1ecf,1,0,0,0,0,0,0,0,0,0,0,0,0
b8dcc1b7cfb5832684a26b840e952dc1,1,0,0,0,0,0,0,0,0,0,0,0,0
368152dc6deb8ad1221fc2b3224f4b75,1,0,0,0,0,0,0,0,0,0,0,0,0
87a6a7b1f829c0582edc2361fa8c8f95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28981f7d23e08c0bfd75e7655835a310,1,0,0,0,0,0,0,0,0,0,2,106,1
4967ae79c0deadff048dce22a6c8a3f0,1,0,0,0,0,0,0,0,0,0,0,0,0
5b9e2630640eeaee3286e8441b500ea0,1,0,56,0,0,56,0,0,56,0,0,76,0
bf78ea478cebb33363b0e15517afe3a3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7bcb5ea3a2af0e15d123c49bbbb2d9c7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1de23e7515948df7db8308efe4c71d14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3e3a338d69e03fbbd536d9dd5b27dd8e,1,0,0,0,0,0,0,0,0,0,0,0,0
e5c04cfdfe25354bd2dcf31dfb24625e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c381c71ad80ce016b6c16b0b55495a1d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5334f163bab880eff4826ebf4ce074b0,1,0,0,0,0,0,0,0,0,0,0,0,0
84aa7f63a931534ade25b72cee9ef58f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8343fe704700421ed7f2d7dd8276d998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100f36537e6b73bfd8a3ef03a937162d,1,0,0,0,0,0,0,0,0,0,0,0,0
926f421dbb1d71510e07e11db8dfe3e1,1,0,0,0,0,0,0,0,0,0,0,0,0
5581f8237bb48cdd02c99aa58260f4c1,1,0,0,0,0,4,9,0,4,9,0,4,9
ae1f3b762e7af9ce3f4193bcef9bd7ae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111509237fa91e2d7858f58fff156585,1,0,0,0,0,0,0,0,0,0,0,0,0
e09b0ab8aa80961ed2d777553670020a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
