id,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27
c314030cf058139e30d7f87aad9d6230,0,0,NULL,NULL,0,0,0,0,0,0
ad611bbc46f80e571ec7b924d8d5f4ac,0,0,NULL,NULL,0,0,0,0,0,0
96ecce93ecb3ce21a1232134e5637054,0,0,NULL,NULL,0,0,0,0,0,0
a395894fb77fa719cd0e12d41f46c4bc,0,0,NULL,NULL,0,0,1,3560,0.1338,0.0366
b497d07a5be975965dd386c40d26a09e,0,0,NULL,NULL,0,0,0,0,0,0
c4bc210a29adc0cececb15047b59b158,0,0,NULL,NULL,0,0,1,NULL,0,0
da4c82634a08e643ca082a1a0c5b6360,0,0,NULL,NULL,0,0,0,0,0,0
ab0e9dadabce8a043ced86528320742c,0,0,NULL,NULL,0,0,0,0,0,0
acd111ae776ecdf8c61e8c0e6e695524,0,0,NULL,NULL,0,0,0,0,0,0
2ef383e257d09b4872a7113637fbbc8d,0,0,NULL,NULL,0,0,0,0,0,0
e194a303e18d6123a12e4c64378a71ba,0,0,NULL,NULL,0,0,0,0,0,0
746decefeb679f38d8523ecbd535c04a,0,0,NULL,NULL,0,0,0,0,0,0
33710d77257033b17d34ed88bcb17ae4,0,0,NULL,NULL,0,0,0,0,0,0
427fc46285baaf17b2aaa54dad9d216b,0,0,NULL,NULL,0,0,0,0,0,0
9eb61f387f237bed19271cf93ad7cd08,0,0,NULL,NULL,0,0,1,2670,0,0
7be41d8f29fb18d13a6be6266040d872,0,0,NULL,NULL,0,0,1,8010,0.048,0.3769
b51ff113e03ea156f230037823d93576,0,0,NULL,NULL,0,0,0,0,0,0
cc669dd7e9a7b1a8e1e18dc19ce46841,0,0,NULL,NULL,0,0,0,0,0,0
13d14e735edb61e33f692150893c4b0b,0,0,NULL,NULL,1,255.0688,0,0,0,0
8829a92bf74c082ae37d32f314219744,0,0,NULL,NULL,0,0,0,0,0,0
28242447bf8a107e08d9533989b76189,0,0,NULL,NULL,0,0,0,0,0,0
f5f886cbbf2794097bb9be2a358db525,0,0,NULL,NULL,0,0,0,0,0,0
7bf48c5fb73d8b7ba046409f8883cbe4,0,0,NULL,NULL,0,0,0,0,0,0
887bc8f78c3bdd7ac855460f78ad0995,0,0,NULL,NULL,0,0,0,0,0,0
b9ed15f086296f756d86d530e455be7c,0,0,NULL,NULL,0,0,0,0,0,0
a0427aa1cd828a3675a0100f12b88d3d,0,0,NULL,NULL,0,0,0,0,0,0
a007da283e00a0ea366ba68dc5280333,0,0,NULL,NULL,0,0,0,0,0,0
bf459b3bb80b8481235748d30577c333,0,0,NULL,NULL,0,0,0,0,0,0
96877a43965c2c067077e8229a55d94e,0,0,NULL,NULL,0,0,0,0,0,0
a367fb2de7c882583ab4611aef13d86c,0,0,NULL,NULL,0,0,1,8900,0.9935,0.9905
1615293ccaa975329cbe20fec0b765f7,0,0,NULL,NULL,0,0,0,0,0,0
b9acee640eb9b3ae65fdb71be3381c7b,0,0,NULL,NULL,0,0,0,0,0,0
fa4188192d9522ca94b6c73ab7b72387,0,0,NULL,NULL,0,0,1,NULL,0,0
33985f07f0afb32ebaa9f2bcd36e22fc,0,0,NULL,NULL,0,0,0,0,0,0
631f79709d63909216b3d24c13dec1a8,0,0,NULL,NULL,0,0,0,0,0,0
904a1417adcda79015dfae054db40bf3,0,0,NULL,NULL,0,0,0,0,0,0
8b6f733419cf3095a592eb612f722b21,0,0,NULL,NULL,0,0,0,0,0,0
e9abe3f48c9d2a1fe51a9ead88cec77f,0,0,NULL,NULL,0,0,0,0,0,0
1e610604f8ac52c11594dc2dea3f0f7e,0,0,NULL,NULL,0,0,0,0,0,0
049e0b4e692100530a5238e397849399,0,0,NULL,NULL,1,43425,0,0,0,0
a5b6ddfa7ca9cf6ffcaa0eaa00abf9b7,0,0,NULL,NULL,0,0,0,0,0,0
266440b8fc4f24ba0bd8823c6f1dad18,0,0,NULL,NULL,0,0,1,0.89,0,0
bc6163ebae5f432b2bba741118df1c58,0,0,NULL,NULL,0,0,0,0,0,0
5b2c420fb7caf660b396f77a9beb3f02,0,0,NULL,NULL,0,0,1,13350,0.3333,0.9163
7f45f72f6b2450eda6be2485dacfbc38,0,0,NULL,NULL,0,0,1,16020,0,0
7871ca225a60022021d6c26bebb88b0a,0,0,NULL,NULL,0,0,0,0,0,0
b8d3c32e2e384ffcf8786089ee566b4c,0,0,NULL,NULL,0,0,0,0,0,0
7eaf3784bdc9b7f166f6dab01a0b53fd,0,0,NULL,NULL,0,0,1,NULL,0,0
b1c089921718e77b46c018b419cb1c92,0,0,NULL,NULL,0,0,0,0,0,0
381be3cc448aca111b647835d58ae0c9,0,0,NULL,NULL,0,0,0,0,0,0
2eb46f5e1db6e0a8d921e6b21cc2ef01,0,0,NULL,NULL,0,0,0,0,0,0
ed81903f83b599c4a23f603065b035c5,0,0,NULL,NULL,0,0,0,0,0,0
94327f22f26151a3a7dc8b6090f2cf9e,0,0,NULL,NULL,0,0,0,0,0,0
7c0d65ab4f6e1921fa40ec2a132439e2,0,0,NULL,NULL,0,0,0,0,0,0
