0.0,0.0,24.4
0.02,0.0,24.12
0.04,0.0,23.85
0.06,0.0,23.59
0.08,0.0,23.34
0.1,0.0,23.1
0.12,0.0,22.88
0.14,0.0,22.67
0.16,0.0,22.46
0.18,0.0,22.27
0.2,0.0,22.1
0.22,0.0,21.93
0.24,0.0,21.77
0.26,0.0,21.63
0.28,0.0,21.5
0.3,0.0,21.38
0.32,0.0,21.27
0.34,0.0,21.17
0.36,0.0,21.08
0.38,0.0,21.01
0.4,0.0,20.94
0.42,0.0,20.89
0.44,0.0,20.85
0.46,0.0,20.82
0.48,0.0,20.81
0.5,0.0,20.8
0.52,0.0,20.81
0.54,0.0,20.82
0.56,0.0,20.85
0.58,0.0,20.89
0.6,0.0,20.94
0.62,0.0,21.01
0.64,0.0,21.08
0.66,0.0,21.17
0.68,0.0,21.27
0.7,0.0,21.38
0.72,0.0,21.5
0.74,0.0,21.63
0.76,0.0,21.77
0.78,0.0,21.93
0.8,0.0,22.1
0.82,0.0,22.27
0.84,0.0,22.46
0.86,0.0,22.67
0.88,0.0,22.88
0.9,0.0,23.1
0.92,0.0,23.34
0.94,0.0,23.59
0.96,0.0,23.85
0.98,0.0,24.12
1.0,0.0,24.4
1.02,0.0,24.69
1.04,0.0,25.0
1.06,0.0,25.32
1.08,0.0,25.64
1.1,0.0,25.98
1.12,0.0,26.34
1.14,0.0,26.7
1.16,0.0,27.07
1.18,0.0,27.46
1.2,0.0,27.86
1.22,0.0,28.26
1.24,0.0,28.69
1.26,0.0,29.12
1.28,0.0,29.56
1.3,0.0,30.02
1.32,0.0,30.48
1.34,0.0,30.96
1.36,0.0,31.45
1.38,0.0,31.95
1.4,0.0,32.46
1.42,0.0,32.99
1.44,0.0,33.52
1.46,0.0,34.07
1.48,0.0,34.63
1.5,0.0,35.2
1.52,0.0,35.78
1.54,0.0,36.38
1.56,0.0,36.98
1.58,0.0,37.6
1.6,0.0,38.22
1.62,0.0,38.86
1.64,0.0,39.51
1.66,0.0,40.18
1.68,0.0,40.85
1.7,0.0,41.54
1.72,0.0,42.23
1.74,0.0,42.94
1.76,0.0,43.66
1.78,0.0,44.39
1.8,0.0,45.14
1.82,0.0,45.89
1.84,0.0,46.66
1.86,0.0,47.43
1.88,0.0,48.22
1.9,0.0,49.02
1.92,0.0,49.84
1.94,0.0,50.66
1.96,0.0,51.5
1.98,0.0,52.34
2.0,0.0,53.2
